review,rating,date,bank,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label,identified_themes
ok,5,2025-05-22,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
ok,5,2025-05-22,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,0.0,0.633,0.367,0.4404,positive,User Interface & Experience
Awosome!!!,5,2025-05-22,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
"Very good app,",5,2025-05-22,CBE,Google Play,0.0,0.385,0.615,0.4927,positive,User Interface & Experience
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,0.098,0.637,0.265,0.4854,positive,Customer Support
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,0.0,0.744,0.256,0.4754,positive,User Interface & Experience
I hate this app 😒,1,2025-05-22,CBE,Google Play,0.425,0.575,0.0,-0.5719,negative,User Interface & Experience
trustful,5,2025-05-22,CBE,Google Play,0.0,0.0,1.0,0.4767,positive,Other
I like,5,2025-05-22,CBE,Google Play,0.0,0.286,0.714,0.3612,positive,Other
update issue,4,2025-05-22,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Feature Requests
its not working over safari network,1,2025-05-22,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
oldie,1,2025-05-22,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
it doesn't work,1,2025-05-21,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
best,5,2025-05-21,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,0.0,0.615,0.385,0.6124,positive,User Interface & Experience
ok,5,2025-05-21,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
best app,5,2025-05-21,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,User Interface & Experience
best,5,2025-05-21,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,0.0,0.339,0.661,0.8679,positive,User Interface & Experience
good app,5,2025-05-21,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,User Interface & Experience
Yes Yes,5,2025-05-21,CBE,Google Play,0.0,0.0,1.0,0.6597,positive,Other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,0.0,0.467,0.533,0.6908,positive,Customer Support
good 👍,4,2025-05-21,CBE,Google Play,0.0,0.408,0.592,0.4404,positive,Other
the best mobile banking app,5,2025-05-21,CBE,Google Play,0.0,0.488,0.512,0.6369,positive,User Interface & Experience
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,0.0,0.617,0.383,0.6801,positive,User Interface & Experience
ok,2,2025-05-21,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
it's a good application 👍,5,2025-05-21,CBE,Google Play,0.0,0.633,0.367,0.4404,positive,User Interface & Experience
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,0.201,0.799,0.0,-0.5836,negative,"Transaction Performance, Feature Requests"
poor service,1,2025-05-21,CBE,Google Play,0.756,0.244,0.0,-0.4767,negative,Customer Support
amazing,5,2025-05-20,CBE,Google Play,0.0,0.0,1.0,0.5859,positive,Other
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,0.0,0.674,0.326,0.4404,positive,Other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,0.272,0.728,0.0,-0.4576,negative,User Interface & Experience
Cbe mobile banking,5,2025-05-20,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,0.0,0.796,0.204,0.3182,positive,User Interface & Experience
Best app I loved it,5,2025-05-19,CBE,Google Play,0.0,0.27,0.73,0.8442,positive,User Interface & Experience
nice app,5,2025-05-19,CBE,Google Play,0.0,0.263,0.737,0.4215,positive,User Interface & Experience
wow,5,2025-05-18,CBE,Google Play,0.0,0.0,1.0,0.5859,positive,Other
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,0.0,0.494,0.506,0.6239,positive,User Interface & Experience
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,0.0,0.254,0.746,0.8316,positive,User Interface & Experience
very good,4,2025-05-17,CBE,Google Play,0.0,0.238,0.762,0.4927,positive,Other
best app.,5,2025-05-17,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,User Interface & Experience
good,5,2025-05-17,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
"not working,why???",5,2025-05-17,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,0.0,0.855,0.145,0.3716,positive,Feature Requests
excellent,5,2025-05-17,CBE,Google Play,0.0,0.0,1.0,0.5719,positive,Other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,0.274,0.593,0.132,-0.6209,negative,User Interface & Experience
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
good,5,2025-05-16,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
"Good ,easy to use",5,2025-05-16,CBE,Google Play,0.0,0.256,0.744,0.7003,positive,Other
Good app,5,2025-05-15,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,User Interface & Experience
Good job👍,5,2025-05-14,CBE,Google Play,0.0,0.508,0.492,0.4404,positive,Other
good,5,2025-05-14,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
nice,5,2025-05-14,CBE,Google Play,0.0,0.0,1.0,0.4215,positive,Other
